system,request_index,latency_s,message_count,response_chars,error
ec2,0,0.2543,2,207,
ec2,1,0.2981,4,248,
ec2,2,0.3506,6,279,
ec2,3,0.4137,8,346,
ec2,4,0.4156,10,411,
ec2,5,0.4559,12,378,
ec2,6,0.454,14,401,
ec2,7,0.4444,16,473,
ec2,8,0.5426,18,601,
ec2,9,0.7068,20,821,
ec2,10,0.5831,22,826,
ec2,11,0.8536,24,904,
ec2,12,0.5909,26,654,
ec2,13,0.6464,28,495,
ec2,14,0.7328,30,591,
ec2,15,0.7576,32,625,
ec2,16,0.7085,34,745,
ec2,17,0.2663,36,9,
ec2,18,0.328,38,9,
ec2,19,0.3003,40,18,
