system,request_index,latency_s,message_count,response_chars,load_ms,llm_ms,compress_ms,store_ms,prompt_tokens,completion_tokens,error
ec2,0,0.5419,4,239,0.42,495.3,0.0,8.31,104,55,
ec2,1,0.3373,6,263,0.4,278.8,0.0,6.01,174,61,
ec2,2,0.555,8,287,0.43,461.19,0.0,5.73,250,65,
ec2,3,0.4983,10,292,0.29,451.49,0.0,5.38,330,68,
ec2,4,0.525,12,310,1.69,375.86,0.0,9.19,413,71,
ec2,5,0.3808,14,291,0.68,326.62,0.0,6.99,499,71,
ec2,6,0.4383,16,287,0.49,310.63,0.0,5.92,585,63,
ec2,7,0.3064,18,270,0.42,244.48,0.0,7.2,663,61,
ec2,8,0.3963,20,236,0.93,335.51,0.0,6.64,739,53,
ec2,9,0.5385,22,246,0.41,482.02,0.0,9.69,807,54,
ec2,10,0.3807,24,204,0.81,326.25,0.0,12.87,876,47,
ec2,11,0.5075,26,216,0.45,458.12,0.0,6.68,938,49,
ec2,12,0.3893,28,233,0.42,329.11,0.0,8.62,1002,52,
ec2,13,0.3469,30,238,0.38,301.93,0.0,5.17,1069,53,
ec2,14,0.2963,32,232,0.39,251.63,0.0,5.59,1137,55,
ec2,15,0.3562,34,242,0.53,309.19,0.0,4.91,1207,56,
ec2,16,0.4453,36,213,0.41,401.37,0.0,5.04,1278,48,
ec2,17,0.3546,38,254,0.41,303.18,0.0,5.21,1341,56,
ec2,18,0.3265,40,231,0.44,278.77,0.0,5.29,1412,54,
ec2,19,0.5193,42,236,0.41,474.93,0.0,5.58,1481,54,
