system,request_index,latency_s,message_count,response_chars,load_ms,llm_ms,compress_ms,store_ms,prompt_tokens,completion_tokens,error
lambda,0,0.3896,4,233,4.64,210.83,0.0,6.05,103,53,
lambda,1,0.347,6,306,4.48,262.14,0.0,6.34,171,71,
lambda,2,0.5928,8,346,4.15,417.69,0.0,6.32,257,80,
lambda,3,0.4112,10,333,4.24,283.6,0.0,6.44,352,79,
lambda,4,0.3767,12,351,4.37,279.1,0.0,6.72,446,80,
lambda,5,0.443,14,425,4.15,349.43,0.0,6.81,541,99,
lambda,6,0.3803,16,390,4.69,300.65,0.0,6.85,655,88,
lambda,7,0.5982,18,469,4.56,431.72,0.0,7.22,758,109,
lambda,8,0.5612,20,531,4.54,475.59,0.0,7.84,882,117,
lambda,9,0.9163,22,656,4.58,705.84,0.0,7.49,1014,141,
lambda,10,0.6852,24,681,4.57,595.82,0.0,7.47,1170,153,
lambda,11,0.7458,26,844,4.71,648.08,0.0,7.48,1338,183,
lambda,12,0.717,28,533,5.0,603.28,0.0,7.8,1536,118,
lambda,13,0.6919,30,666,5.28,606.18,0.0,7.61,1669,146,
lambda,14,0.8032,32,805,4.96,712.44,0.0,7.68,1830,179,
lambda,15,0.8002,34,760,4.96,708.18,0.0,8.0,2024,172,
lambda,16,0.9646,36,861,5.02,878.23,0.0,9.18,2211,199,
lambda,17,0.8676,38,908,5.05,782.66,0.0,9.12,2425,209,
lambda,18,1.0035,40,1028,4.95,914.02,0.0,9.12,2649,225,
lambda,19,1.0721,42,1050,5.95,965.36,0.0,9.32,2889,246,
