system,request_index,latency_s,message_count,response_chars,error
lambda,0,1.2498,2,205,
lambda,1,0.5629,4,227,
lambda,2,0.3841,6,298,
lambda,3,0.5723,8,275,
lambda,4,0.3481,10,308,
lambda,5,0.4402,12,287,
lambda,6,0.4002,14,299,
lambda,7,0.4685,16,302,
lambda,8,0.4545,18,258,
lambda,9,0.36,20,296,
lambda,10,0.5745,22,264,
lambda,11,0.4417,24,258,
lambda,12,0.4735,26,278,
lambda,13,0.3627,28,190,
lambda,14,0.4685,30,268,
lambda,15,0.3313,32,183,
lambda,16,0.3834,34,216,
lambda,17,0.4376,36,266,
lambda,18,0.4595,38,189,
lambda,19,0.3425,40,206,
