system,request_index,latency_s,message_count,response_chars,load_ms,llm_ms,compress_ms,store_ms,prompt_tokens,completion_tokens,error
lambda,0,0.5919,4,228,16.75,199.13,0.0,5.42,96,50,
lambda,1,0.4095,6,245,3.99,252.03,0.0,5.45,161,52,
lambda,2,0.4089,8,243,4.03,205.83,0.0,5.43,228,59,
lambda,3,0.4133,10,279,4.22,257.62,0.0,13.84,302,65,
lambda,4,0.5124,12,324,4.38,296.58,0.0,12.83,382,75,
lambda,5,0.4055,14,304,4.37,253.15,0.0,5.83,472,72,
lambda,6,0.4117,16,246,4.23,252.73,0.0,10.27,559,58,
lambda,7,0.443,18,314,4.52,329.18,0.0,22.25,632,72,
lambda,8,0.4797,20,349,4.39,309.17,0.0,17.75,719,81,
lambda,9,0.445,22,325,4.59,300.63,0.0,6.14,815,71,
lambda,10,0.4802,24,298,4.39,273.45,0.0,11.87,901,66,
lambda,11,0.4736,26,297,4.55,313.16,0.0,19.96,982,67,
lambda,12,0.5,28,334,4.72,379.35,0.0,17.67,1064,75,
lambda,13,0.581,30,306,4.55,480.01,0.0,6.56,1154,67,
lambda,14,0.3828,32,315,4.51,290.36,0.0,10.49,1236,69,
lambda,15,0.4098,34,313,4.61,268.79,0.0,14.05,1320,68,
lambda,16,0.4094,36,295,4.64,287.63,0.0,15.57,1403,66,
lambda,17,0.4089,38,351,4.61,279.91,0.0,7.12,1484,77,
lambda,18,0.5159,40,329,4.84,308.72,0.0,17.25,1576,73,
lambda,19,0.5079,42,365,4.89,331.0,0.0,7.48,1664,80,
