system,mode,request_index,latency_s,error
lambda,warm,0,0.2809,
lambda,warm,1,0.3317,
lambda,warm,2,0.6371,
lambda,warm,3,0.4845,
lambda,warm,4,0.5393,
lambda,warm,5,0.4449,
lambda,warm,6,0.4898,
lambda,warm,7,0.5584,
lambda,warm,8,0.6412,
lambda,warm,9,0.5555,
lambda,cold,0,1.0317,
lambda,cold,1,1.1811,
lambda,cold,2,2.056,
lambda,cold,3,0.8809,
lambda,cold,4,0.9033,
lambda,cold,5,0.9375,
lambda,cold,6,0.9284,
lambda,cold,7,0.9157,
lambda,cold,8,1.0438,
lambda,cold,9,1.1028,
