system,mode,request_index,latency_s,error
lambda,warm,0,0.3502,
lambda,warm,1,0.4365,
lambda,warm,2,0.4162,
lambda,warm,3,0.6435,
lambda,warm,4,0.4103,
lambda,warm,5,0.4947,
lambda,warm,6,0.5158,
lambda,warm,7,0.5268,
lambda,warm,8,0.5351,
lambda,warm,9,0.5995,
lambda,warm,10,0.5988,
lambda,warm,11,0.6396,
lambda,warm,12,0.6541,
lambda,warm,13,0.9059,
lambda,warm,14,0.7599,
lambda,warm,15,0.8195,
lambda,warm,16,0.8031,
lambda,warm,17,0.9539,
lambda,warm,18,0.8022,
lambda,warm,19,0.9407,
lambda,cold,0,1.0794,
lambda,cold,1,1.0403,
lambda,cold,2,1.2269,
lambda,cold,3,1.4144,
lambda,cold,4,1.1293,
lambda,cold,5,1.275,
lambda,cold,6,1.2524,
lambda,cold,7,1.161,
lambda,cold,8,1.1696,
lambda,cold,9,1.099,
lambda,cold,10,1.0978,
lambda,cold,11,1.3205,
lambda,cold,12,1.207,
lambda,cold,13,1.201,
lambda,cold,14,1.1773,
lambda,cold,15,1.0883,
lambda,cold,16,1.6448,
lambda,cold,17,1.1156,
lambda,cold,18,1.2416,
lambda,cold,19,1.1641,
