system,turn,message_count,prev_count,latency_s,compressed_here,count_drop,response_chars
ec2,1,2,0,0.2504,0,0,139
ec2,2,4,2,0.3071,0,0,204
ec2,3,6,4,0.2895,0,0,218
ec2,4,8,6,0.3488,0,0,209
ec2,5,10,8,0.3239,0,0,140
ec2,6,12,10,0.3442,0,0,264
ec2,7,14,12,0.3604,0,0,170
ec2,8,16,14,0.2972,0,0,165
ec2,9,18,16,0.3101,0,0,285
ec2,10,20,18,0.3484,0,0,220
ec2,11,22,20,0.5013,0,0,176
ec2,12,24,22,0.3318,0,0,206
ec2,13,26,24,0.3671,0,0,222
ec2,14,28,26,0.4119,0,0,153
ec2,15,30,28,0.7039,0,0,253
ec2,16,32,30,0.4526,0,0,251
ec2,17,34,32,0.4278,0,0,253
ec2,18,36,34,0.5747,0,0,213
ec2,19,38,36,0.3906,0,0,197
ec2,20,40,38,0.3628,0,0,218
ec2,21,42,40,0.3589,0,0,184
ec2,22,44,42,0.367,0,0,236
ec2,23,46,44,0.5033,0,0,278
ec2,24,48,46,0.372,0,0,168
ec2,25,50,48,0.5187,0,0,296
ec2,26,52,50,0.3907,0,0,227
ec2,27,54,52,0.5097,0,0,283
ec2,28,56,54,0.4468,0,0,229
ec2,29,58,56,0.3881,0,0,238
ec2,30,60,58,0.4414,0,0,261
ec2,31,62,60,0.4603,0,0,249
ec2,32,64,62,0.5298,0,0,271
ec2,33,66,64,0.4341,0,0,183
ec2,34,68,66,0.4784,0,0,192
ec2,35,70,68,0.2981,0,0,13
ec2,36,72,70,0.2738,0,0,13
ec2,37,74,72,0.3131,0,0,13
ec2,38,76,74,0.3161,0,0,13
ec2,39,78,76,0.3233,0,0,13
ec2,40,80,78,0.2895,0,0,13
ec2,41,82,80,0.2492,0,0,13
ec2,42,84,82,0.2712,0,0,13
ec2,43,86,84,0.2543,0,0,13
ec2,44,88,86,0.2554,0,0,13
ec2,45,90,88,0.264,0,0,13
ec2,46,92,90,0.2544,0,0,13
ec2,47,94,92,0.7181,0,0,13
ec2,48,96,94,0.3399,0,0,13
ec2,49,98,96,0.2864,0,0,13
ec2,50,100,98,0.2664,0,0,13
ec2,51,102,100,0.3775,0,0,13
ec2,52,104,102,0.2862,0,0,13
ec2,53,106,104,0.3187,0,0,13
ec2,54,108,106,0.362,0,0,13
ec2,55,110,108,0.3595,0,0,13
ec2,56,112,110,0.3033,0,0,13
ec2,57,114,112,0.2868,0,0,13
ec2,58,116,114,0.3364,0,0,13
ec2,59,118,116,0.296,0,0,13
ec2,60,120,118,0.3969,0,0,13
ec2,61,122,120,0.4701,0,0,13
ec2,62,124,122,0.3312,0,0,13
ec2,63,126,124,0.4784,0,0,13
ec2,64,128,126,0.2993,0,0,13
ec2,65,130,128,0.3148,0,0,13
ec2,66,132,130,0.3036,0,0,13
ec2,67,134,132,0.3179,0,0,13
ec2,68,136,134,0.3853,0,0,13
ec2,69,138,136,0.3615,0,0,13
ec2,70,140,138,0.4466,0,0,13
ec2,71,142,140,0.3338,0,0,13
ec2,72,144,142,0.2836,0,0,13
ec2,73,146,144,0.2785,0,0,13
ec2,74,148,146,0.2932,0,0,13
ec2,75,150,148,0.3427,0,0,13
ec2,76,103,150,1.5945,1,47,13
ec2,77,105,103,0.3015,0,0,13
ec2,78,107,105,0.241,0,0,13
ec2,79,109,107,0.2284,0,0,13
ec2,80,111,109,0.23,0,0,13
ec2,81,113,111,0.2316,0,0,13
ec2,82,115,113,0.2832,0,0,13
ec2,83,117,115,0.2853,0,0,13
ec2,84,119,117,0.3357,0,0,13
ec2,85,121,119,0.2397,0,0,13
ec2,86,123,121,0.4654,0,0,13
ec2,87,125,123,0.2571,0,0,13
ec2,88,127,125,0.2489,0,0,13
ec2,89,129,127,0.2624,0,0,13
ec2,90,131,129,0.2678,0,0,13
