system,turn,message_count,prev_count,latency_s,compressed_here,count_drop,response_chars,compression_prompt_tokens,compression_completion_tokens
ec2,1,2,0,0.4875,0,0,117,,
ec2,2,4,2,0.2696,0,0,179,,
ec2,3,6,4,0.3529,0,0,278,,
ec2,4,8,6,0.2852,0,0,171,,
ec2,5,10,8,0.4696,0,0,342,,
ec2,6,12,10,0.3594,0,0,221,,
ec2,7,14,12,0.4957,0,0,400,,
ec2,8,16,14,0.3694,0,0,289,,
ec2,9,18,16,0.2951,0,0,163,,
ec2,10,20,18,0.3364,0,0,169,,
ec2,11,22,20,0.379,0,0,150,,
ec2,12,24,22,0.4484,0,0,298,,
ec2,13,26,24,0.4898,0,0,242,,
ec2,14,28,26,0.516,0,0,250,,
ec2,15,30,28,0.4143,0,0,205,,
ec2,16,32,30,0.5067,0,0,310,,
ec2,17,34,32,0.5309,0,0,347,,
ec2,18,36,34,0.5065,0,0,311,,
ec2,19,38,36,0.5206,0,0,238,,
ec2,20,40,38,0.5905,0,0,249,,
ec2,21,42,40,0.6027,0,0,363,,
ec2,22,44,42,0.4699,0,0,374,,
ec2,23,46,44,0.5511,0,0,363,,
ec2,24,48,46,0.6181,0,0,449,,
ec2,25,50,48,0.5841,0,0,399,,
ec2,26,52,50,0.7583,0,0,480,,
ec2,27,54,52,0.8162,0,0,480,,
ec2,28,56,54,0.7415,0,0,487,,
ec2,29,58,56,0.7474,0,0,515,,
ec2,30,60,58,0.608,0,0,536,,
ec2,31,62,60,0.6964,0,0,527,,
ec2,32,64,62,0.6556,0,0,557,,
ec2,33,66,64,0.7491,0,0,594,,
ec2,34,68,66,0.789,0,0,557,,
ec2,35,70,68,1.039,0,0,692,,
ec2,36,72,70,0.797,0,0,672,,
ec2,37,74,72,0.7603,0,0,603,,
ec2,38,76,74,1.0616,0,0,733,,
ec2,39,78,76,0.9751,0,0,782,,
ec2,40,80,78,0.7377,0,0,735,,
ec2,41,82,80,0.972,0,0,676,,
ec2,42,84,82,0.8935,0,0,647,,
ec2,43,86,84,0.8867,0,0,737,,
ec2,44,88,86,1.1038,0,0,671,,
ec2,45,90,88,1.1964,0,0,854,,
ec2,46,92,90,1.033,0,0,853,,
ec2,47,94,92,1.6684,0,0,901,,
ec2,48,96,94,0.9258,0,0,826,,
ec2,49,98,96,0.9613,0,0,796,,
ec2,50,100,98,1.043,0,0,816,,
ec2,51,102,100,0.9365,0,0,686,,
ec2,52,104,102,1.0864,0,0,856,,
ec2,53,106,104,1.114,0,0,799,,
ec2,54,108,106,1.0442,0,0,861,,
ec2,55,110,108,1.213,0,0,900,,
ec2,56,112,110,1.0572,0,0,914,,
ec2,57,114,112,1.2632,0,0,892,,
ec2,58,116,114,1.4263,0,0,1022,,
ec2,59,118,116,1.174,0,0,963,,
ec2,60,120,118,1.1404,0,0,1052,,
ec2,61,122,120,1.2286,0,0,974,,
ec2,62,124,122,1.2562,0,0,1084,,
ec2,63,126,124,1.2209,0,0,1103,,
ec2,64,128,126,1.375,0,0,1138,,
ec2,65,130,128,1.4892,0,0,1206,,
ec2,66,132,130,1.124,0,0,1108,,
ec2,67,134,132,1.269,0,0,1060,,
ec2,68,136,134,2.5495,0,0,1273,,
ec2,69,138,136,1.5528,0,0,1175,,
ec2,70,140,138,1.2123,0,0,1055,,
ec2,71,142,140,1.4086,0,0,1213,,
ec2,72,144,142,1.4568,0,0,1235,,
ec2,73,146,144,1.4157,0,0,1218,,
ec2,74,148,146,1.5198,0,0,1386,,
ec2,75,150,148,1.5877,0,0,1247,,
ec2,76,103,150,2.9784,1,47,1217,1912,306
ec2,77,105,103,1.372,0,0,1419,,
ec2,78,107,105,1.3721,0,0,1416,,
ec2,79,109,107,1.3491,0,0,1341,,
ec2,80,111,109,1.4508,0,0,1401,,
ec2,81,113,111,1.4219,0,0,1390,,
ec2,82,115,113,1.4395,0,0,1376,,
ec2,83,117,115,1.6194,0,0,1414,,
ec2,84,119,117,1.4494,0,0,1391,,
ec2,85,121,119,1.4171,0,0,1372,,
ec2,86,123,121,1.435,0,0,1383,,
ec2,87,125,123,1.8287,0,0,1436,,
ec2,88,127,125,1.4457,0,0,1415,,
ec2,89,129,127,1.639,0,0,1541,,
ec2,90,131,129,1.4163,0,0,1381,,
