system,turn,message_count,prev_count,latency_s,compressed_here,count_drop,response_chars
lambda,1,2,0,1.2242,0,0,139
lambda,2,4,2,0.2899,0,0,91
lambda,3,6,4,0.4178,0,0,138
lambda,4,8,6,0.338,0,0,147
lambda,5,10,8,0.4089,0,0,186
lambda,6,12,10,0.3734,0,0,156
lambda,7,14,12,0.4349,0,0,237
lambda,8,16,14,0.3656,0,0,175
lambda,9,18,16,0.3578,0,0,170
lambda,10,20,18,0.3797,0,0,216
lambda,11,22,20,0.4227,0,0,263
lambda,12,24,22,0.4778,0,0,272
lambda,13,26,24,0.5241,0,0,320
lambda,14,28,26,0.4786,0,0,333
lambda,15,30,28,0.4844,0,0,317
lambda,16,32,30,0.5554,0,0,319
lambda,17,34,32,0.5793,0,0,365
lambda,18,36,34,0.4918,0,0,349
lambda,19,38,36,0.6103,0,0,458
lambda,20,40,38,0.6616,0,0,436
lambda,21,42,40,0.7019,0,0,499
lambda,22,44,42,0.7245,0,0,473
lambda,23,46,44,0.7564,0,0,649
lambda,24,48,46,0.7006,0,0,594
lambda,25,50,48,0.7012,0,0,613
lambda,26,52,50,0.7463,0,0,625
lambda,27,54,52,0.8594,0,0,597
lambda,28,56,54,0.9132,0,0,734
lambda,29,58,56,0.9042,0,0,630
lambda,30,60,58,0.8464,0,0,692
lambda,31,62,60,0.9187,0,0,879
lambda,32,64,62,0.9601,0,0,880
lambda,33,66,64,1.0716,0,0,798
lambda,34,68,66,1.0616,0,0,944
lambda,35,70,68,0.9857,0,0,833
lambda,36,72,70,1.1183,0,0,968
lambda,37,74,72,1.4546,0,0,966
lambda,38,76,74,1.4123,0,0,971
lambda,39,78,76,1.1672,0,0,893
lambda,40,80,78,1.4368,0,0,1270
lambda,41,82,80,1.2997,0,0,1054
lambda,42,84,82,1.452,0,0,1198
lambda,43,86,84,1.7065,0,0,1399
lambda,44,88,86,1.3491,0,0,1211
lambda,45,90,88,1.332,0,0,1105
lambda,46,92,90,1.7588,0,0,1584
lambda,47,94,92,1.4702,0,0,1298
lambda,48,96,94,1.6028,0,0,1537
lambda,49,98,96,1.5178,0,0,1254
lambda,50,100,98,1.5507,0,0,1447
lambda,51,102,100,1.8426,0,0,1457
lambda,52,104,102,1.5365,0,0,1475
lambda,53,106,104,1.8805,0,0,1570
lambda,54,108,106,1.553,0,0,1170
lambda,55,110,108,1.9519,0,0,1525
lambda,56,112,110,2.008,0,0,1620
lambda,57,114,112,2.2053,0,0,1776
lambda,58,116,114,1.5738,0,0,1106
lambda,59,118,116,1.4942,0,0,1031
lambda,60,120,118,1.9391,0,0,1619
lambda,61,122,120,2.2322,0,0,1628
lambda,62,124,122,1.9053,0,0,1462
lambda,63,126,124,1.92,0,0,1578
lambda,64,128,126,2.1553,0,0,1755
lambda,65,130,128,1.9506,0,0,1442
lambda,66,132,130,1.825,0,0,1510
lambda,67,134,132,2.0505,0,0,1642
lambda,68,136,134,2.2323,0,0,1604
lambda,69,138,136,2.5997,0,0,2415
lambda,70,140,138,2.024,0,0,1630
lambda,71,142,140,2.1173,0,0,1719
lambda,72,144,142,2.0228,0,0,1456
lambda,73,146,144,1.7007,0,0,1212
lambda,74,148,146,2.8161,0,0,2189
lambda,75,150,148,2.1341,0,0,1414
lambda,76,103,150,3.4974,1,47,1637
lambda,77,105,103,2.0909,0,0,1411
lambda,78,107,105,2.0311,0,0,1521
lambda,79,109,107,2.1439,0,0,1471
lambda,80,111,109,2.5436,0,0,1933
lambda,81,113,111,2.3204,0,0,1699
lambda,82,115,113,2.1527,0,0,1712
lambda,83,117,115,2.2636,0,0,1828
lambda,84,119,117,2.1817,0,0,1670
lambda,85,121,119,2.1559,0,0,1726
lambda,86,123,121,2.1589,0,0,1211
lambda,87,125,123,2.5159,0,0,1594
lambda,88,127,125,2.5684,0,0,1521
lambda,89,129,127,2.374,0,0,1557
lambda,90,131,129,2.5283,0,0,1625
