system,turn,message_count,prev_count,latency_s,compressed_here,count_drop,response_chars,compression_prompt_tokens,compression_completion_tokens
lambda,1,2,0,0.3055,0,0,139,,
lambda,2,4,2,0.2926,0,0,122,,
lambda,3,6,4,0.4021,0,0,187,,
lambda,4,8,6,0.2927,0,0,147,,
lambda,5,10,8,0.3773,0,0,210,,
lambda,6,12,10,0.4569,0,0,186,,
lambda,7,14,12,0.372,0,0,230,,
lambda,8,16,14,0.3706,0,0,192,,
lambda,9,18,16,0.4189,0,0,244,,
lambda,10,20,18,0.3803,0,0,249,,
lambda,11,22,20,0.5055,0,0,250,,
lambda,12,24,22,0.4778,0,0,302,,
lambda,13,26,24,0.4678,0,0,264,,
lambda,14,28,26,0.4688,0,0,233,,
lambda,15,30,28,0.5613,0,0,298,,
lambda,16,32,30,0.5386,0,0,328,,
lambda,17,34,32,0.5561,0,0,310,,
lambda,18,36,34,0.5283,0,0,330,,
lambda,19,38,36,0.635,0,0,302,,
lambda,20,40,38,0.4834,0,0,303,,
lambda,21,42,40,0.6362,0,0,356,,
lambda,22,44,42,0.7445,0,0,352,,
lambda,23,46,44,0.5753,0,0,414,,
lambda,24,48,46,0.5945,0,0,427,,
lambda,25,50,48,0.665,0,0,466,,
lambda,26,52,50,0.6903,0,0,503,,
lambda,27,54,52,0.8489,0,0,565,,
lambda,28,56,54,0.6847,0,0,514,,
lambda,29,58,56,0.7574,0,0,544,,
lambda,30,60,58,0.6776,0,0,420,,
lambda,31,62,60,0.6995,0,0,444,,
lambda,32,64,62,0.586,0,0,351,,
lambda,33,66,64,0.76,0,0,468,,
lambda,34,68,66,0.7984,0,0,481,,
lambda,35,70,68,0.8192,0,0,540,,
lambda,36,72,70,0.7389,0,0,625,,
lambda,37,74,72,0.7996,0,0,643,,
lambda,38,76,74,0.8178,0,0,646,,
lambda,39,78,76,0.7849,0,0,606,,
lambda,40,80,78,0.8145,0,0,668,,
lambda,41,82,80,0.8455,0,0,737,,
lambda,42,84,82,0.9298,0,0,808,,
lambda,43,86,84,0.9287,0,0,748,,
lambda,44,88,86,1.152,0,0,736,,
lambda,45,90,88,0.8626,0,0,722,,
lambda,46,92,90,1.3583,0,0,784,,
lambda,47,94,92,1.0626,0,0,800,,
lambda,48,96,94,1.0383,0,0,853,,
lambda,49,98,96,1.0714,0,0,867,,
lambda,50,100,98,1.0262,0,0,820,,
lambda,51,102,100,1.3419,0,0,847,,
lambda,52,104,102,1.1397,0,0,810,,
lambda,53,106,104,1.0807,0,0,847,,
lambda,54,108,106,1.1449,0,0,938,,
lambda,55,110,108,1.0341,0,0,956,,
lambda,56,112,110,1.348,0,0,931,,
lambda,57,114,112,1.1516,0,0,818,,
lambda,58,116,114,1.0748,0,0,870,,
lambda,59,118,116,1.2247,0,0,931,,
lambda,60,120,118,1.1592,0,0,986,,
lambda,61,122,120,1.1396,0,0,863,,
lambda,62,124,122,1.4608,0,0,946,,
lambda,63,126,124,1.1455,0,0,911,,
lambda,64,128,126,1.2147,0,0,974,,
lambda,65,130,128,1.1784,0,0,1055,,
lambda,66,132,130,1.1198,0,0,963,,
lambda,67,134,132,1.4475,0,0,962,,
lambda,68,136,134,1.299,0,0,976,,
lambda,69,138,136,1.3283,0,0,1045,,
lambda,70,140,138,1.3559,0,0,965,,
lambda,71,142,140,1.1755,0,0,958,,
lambda,72,144,142,1.2587,0,0,932,,
lambda,73,146,144,1.2262,0,0,950,,
lambda,74,148,146,1.1534,0,0,962,,
lambda,75,150,148,1.2739,0,0,922,,
lambda,76,103,150,2.2214,1,47,1035,1867,163
lambda,77,105,103,1.3977,0,0,1035,,
lambda,78,107,105,1.3286,0,0,1036,,
lambda,79,109,107,1.2795,0,0,1047,,
lambda,80,111,109,1.2514,0,0,1081,,
lambda,81,113,111,1.2592,0,0,1010,,
lambda,82,115,113,1.3394,0,0,1108,,
lambda,83,117,115,1.2535,0,0,1052,,
lambda,84,119,117,1.2666,0,0,1044,,
lambda,85,121,119,1.4281,0,0,1116,,
lambda,86,123,121,1.421,0,0,1065,,
lambda,87,125,123,1.2585,0,0,1149,,
lambda,88,127,125,1.3438,0,0,1195,,
lambda,89,129,127,1.2639,0,0,1189,,
lambda,90,131,129,1.2443,0,0,1119,,
