system,rep,checkpoint_msgs,actual_message_count,input_chars,output_chars,est_input_tokens,est_output_tokens,est_total_tokens,real_prompt_tokens,real_completion_tokens,latency_s
lambda,0,2,2,19,217,5,54,59,41,50,0.3032
lambda,0,20,20,4083,902,1021,226,1246,1062,209,0.9588
lambda,0,60,60,11953,158,2988,40,3028,3029,39,0.48
lambda,0,120,120,17400,161,4350,40,4390,4619,36,0.6599
lambda,1,2,2,19,249,5,62,67,41,61,0.2719
lambda,1,20,20,3465,615,866,154,1020,952,134,0.8224
lambda,1,60,60,12501,27,3125,7,3132,3302,8,0.5114
lambda,1,120,120,13611,6,3403,2,3404,3966,5,0.4807
lambda,2,2,2,19,217,5,54,59,41,50,0.2567
lambda,2,20,20,3194,620,798,155,954,875,137,0.7222
lambda,2,60,60,8746,36,2186,9,2196,2396,12,0.4261
lambda,2,120,120,10753,49,2688,12,2700,3322,11,0.4801
lambda,3,2,2,19,209,5,52,57,41,48,0.274
lambda,3,20,20,3238,557,810,139,949,869,129,0.5533
lambda,3,60,60,14125,27,3531,7,3538,3566,8,0.4569
lambda,3,120,120,15177,9,3794,2,3796,4186,4,0.5876
lambda,4,2,2,19,207,5,52,56,41,48,0.572
lambda,4,20,20,2900,441,725,110,835,797,96,0.4863
lambda,4,60,60,12412,520,3103,130,3233,3138,118,0.5123
lambda,4,120,120,28191,515,7048,129,7176,6972,115,2.1389
