system,concurrency,worker,turn,latency_s,http_status,error
ec2,1,0,0,0.2249,200,
ec2,1,0,1,0.3,200,
ec2,1,0,2,0.3249,200,
ec2,1,0,3,0.3602,200,
ec2,2,0,0,0.2295,200,
ec2,2,0,1,0.2964,200,
ec2,2,0,2,0.3358,200,
ec2,2,0,3,0.3052,200,
ec2,2,1,0,0.2231,200,
ec2,2,1,1,0.3405,200,
ec2,2,1,2,0.4271,200,
ec2,2,1,3,0.4192,200,
ec2,5,2,0,0.2185,200,
ec2,5,2,1,0.2362,200,
ec2,5,2,2,0.2967,200,
ec2,5,2,3,0.429,200,
ec2,5,4,0,0.2558,200,
ec2,5,4,1,0.2999,200,
ec2,5,4,2,0.3276,200,
ec2,5,4,3,0.3938,200,
ec2,5,3,0,0.2908,200,
ec2,5,3,1,0.2806,200,
ec2,5,3,2,0.415,200,
ec2,5,3,3,0.3018,200,
ec2,5,0,0,0.2485,200,
ec2,5,0,1,0.2877,200,
ec2,5,0,2,0.4124,200,
ec2,5,0,3,0.3552,200,
ec2,5,1,0,0.2852,200,
ec2,5,1,1,0.3049,200,
ec2,5,1,2,0.3057,200,
ec2,5,1,3,0.4147,200,
ec2,10,2,0,0.2602,200,
ec2,10,2,1,0.2503,200,
ec2,10,2,2,0.2547,200,
ec2,10,2,3,0.3293,200,
ec2,10,1,0,0.2741,200,
ec2,10,1,1,0.3076,200,
ec2,10,1,2,0.3186,200,
ec2,10,1,3,0.2762,200,
ec2,10,3,0,0.2677,200,
ec2,10,3,1,0.2762,200,
ec2,10,3,2,0.3456,200,
ec2,10,3,3,0.3602,200,
ec2,10,0,0,0.2318,200,
ec2,10,0,1,0.2548,200,
ec2,10,0,2,0.312,200,
ec2,10,0,3,0.4615,200,
ec2,10,9,0,0.3165,200,
ec2,10,9,1,0.2933,200,
ec2,10,9,2,0.36,200,
ec2,10,9,3,0.3205,200,
ec2,10,4,0,0.2833,200,
ec2,10,4,1,0.2736,200,
ec2,10,4,2,0.3115,200,
ec2,10,4,3,0.4413,200,
ec2,10,5,0,0.2977,200,
ec2,10,5,1,0.3227,200,
ec2,10,5,2,0.3714,200,
ec2,10,5,3,0.4211,200,
ec2,10,6,0,0.312,200,
ec2,10,6,1,0.2894,200,
ec2,10,6,2,0.3814,200,
ec2,10,6,3,0.4717,200,
ec2,10,7,0,0.2921,200,
ec2,10,7,1,0.3076,200,
ec2,10,7,2,0.4452,200,
ec2,10,7,3,0.4188,200,
ec2,10,8,0,0.3278,200,
ec2,10,8,1,0.3076,200,
ec2,10,8,2,0.405,200,
ec2,10,8,3,0.4319,200,
ec2,20,0,0,0.3394,200,
ec2,20,0,1,0.295,200,
ec2,20,0,2,0.3157,200,
ec2,20,0,3,0.2862,200,
ec2,20,5,0,0.3218,200,
ec2,20,5,1,0.3609,200,
ec2,20,5,2,0.3779,200,
ec2,20,5,3,0.3594,200,
ec2,20,14,0,0.4587,200,
ec2,20,14,1,0.3163,200,
ec2,20,14,2,0.3539,200,
ec2,20,14,3,0.2999,200,
ec2,20,17,0,0.4605,200,
ec2,20,17,1,0.3019,200,
ec2,20,17,2,0.4296,200,
ec2,20,17,3,0.3445,200,
ec2,20,11,0,0.4085,200,
ec2,20,11,1,0.3464,200,
ec2,20,11,2,0.4235,200,
ec2,20,11,3,0.3994,200,
ec2,20,15,0,0.4595,200,
ec2,20,15,1,0.3493,200,
ec2,20,15,2,0.4229,200,
ec2,20,15,3,0.3939,200,
ec2,20,7,0,0.3742,200,
ec2,20,7,1,0.3554,200,
ec2,20,7,2,0.465,200,
ec2,20,7,3,0.4458,200,
ec2,20,3,0,0.3131,200,
ec2,20,3,1,0.3339,200,
ec2,20,3,2,0.4041,200,
ec2,20,3,3,0.6006,200,
ec2,20,1,0,0.4769,200,
ec2,20,1,1,0.3356,200,
ec2,20,1,2,0.4488,200,
ec2,20,1,3,0.4105,200,
ec2,20,8,0,0.3894,200,
ec2,20,8,1,0.3627,200,
ec2,20,8,2,0.554,200,
ec2,20,8,3,0.388,200,
ec2,20,2,0,0.38,200,
ec2,20,2,1,0.4074,200,
ec2,20,2,2,0.5293,200,
ec2,20,2,3,0.4165,200,
ec2,20,13,0,0.3546,200,
ec2,20,13,1,0.3799,200,
ec2,20,13,2,0.6169,200,
ec2,20,13,3,0.3932,200,
ec2,20,10,0,0.384,200,
ec2,20,10,1,0.4908,200,
ec2,20,10,2,0.4096,200,
ec2,20,10,3,0.4619,200,
ec2,20,18,0,0.499,200,
ec2,20,18,1,0.4035,200,
ec2,20,18,2,0.4781,200,
ec2,20,18,3,0.396,200,
ec2,20,6,0,0.3413,200,
ec2,20,6,1,0.471,200,
ec2,20,6,2,0.4828,200,
ec2,20,6,3,0.5058,200,
ec2,20,12,0,0.4834,200,
ec2,20,12,1,0.4016,200,
ec2,20,12,2,0.4841,200,
ec2,20,12,3,0.4436,200,
ec2,20,16,0,0.3765,200,
ec2,20,16,1,0.5338,200,
ec2,20,16,2,0.4952,200,
ec2,20,16,3,0.4178,200,
ec2,20,4,0,0.3759,200,
ec2,20,4,1,0.3997,200,
ec2,20,4,2,0.5122,200,
ec2,20,4,3,0.5521,200,
ec2,20,9,0,0.402,200,
ec2,20,9,1,0.444,200,
ec2,20,9,2,0.415,200,
ec2,20,9,3,0.5816,200,
ec2,20,19,0,0.6672,200,
ec2,20,19,1,0.3651,200,
ec2,20,19,2,0.6372,200,
ec2,20,19,3,0.3499,200,
